Codigo,Dominio,Control,Descripcion,Severidad,CVSS_Score,Framework_CIS,Framework_ISO,Framework_NIST,Recursos_Inventario,Region_Principal,Estado_Verificacion,Hallazgo_Encontrado,Cantidad_Afectada,Prioridad,Tiempo_Remediacion_Dias,Esfuerzo_Horas,Responsable,Fecha_Verificacion,Evidencia,Recomendacion
IAM-001,IAM,Usuarios con Privilegios Administrativos Excesivos,Usuarios con permisos de administrador sin justificación de negocio,CRITICA,9.1,CIS 1.15,ISO 27001 A.9.2.3,NIST PR.AC-4,Usuarios IAM,Global,Pendiente,,0,1,7,8,,,,"Implementar principio de menor privilegio, revisar todos los usuarios admin"
IAM-002,IAM,Ausencia de Autenticación Multifactor (MFA),Usuarios sin MFA habilitado especialmente con privilegios elevados,CRITICA,8.5,CIS 1.5-1.11,ISO 27001 A.9.4.2,NIST PR.AC-7,Usuarios IAM,Global,Pendiente,,0,1,3,4,,,,"Habilitar MFA obligatorio para todos los usuarios, especialmente admins"
IAM-003,IAM,Access Keys Antiguas o No Rotadas,Access keys con más de 90 días sin rotación,ALTA,7.3,CIS 1.3,ISO 27001 A.9.2.6,NIST PR.AC-1,Access Keys IAM,Global,Pendiente,,0,2,14,6,,,,Establecer política de rotación cada 90 días y eliminar keys no utilizadas
IAM-004,IAM,Políticas de Contraseñas Débiles,Política de contraseñas no cumple con estándares mínimos,ALTA,7.1,CIS 1.1,ISO 27001 A.9.4.3,NIST PR.AC-1,Account Settings,Global,Pendiente,,0,2,7,4,,,,Configurar política: mínimo 12 caracteres con complejidad
IAM-005,IAM,Usuarios Inactivos,Usuarios sin actividad en los últimos 90 días,MEDIA,5.3,CIS 1.2,ISO 27001 A.9.2.5,NIST PR.AC-2,Usuarios IAM,Global,Pendiente,,0,3,30,3,,,,Desactivar o eliminar usuarios inactivos
IAM-006,IAM,Permisos Excesivos en Políticas,Políticas con permisos * o acceso completo sin restricciones,ALTA,8.2,CIS 1.16,ISO 27001 A.9.1.2,NIST PR.AC-4,Políticas IAM,Global,Pendiente,,0,2,14,8,,,,Refinar políticas con permisos específicos
IAM-007,IAM,Ausencia de Segregación de Funciones,Falta de separación entre roles administrativos y operativos,MEDIA,6.5,N/A,ISO 27001 A.6.1.2,NIST PR.AC-4,Roles IAM,Global,Pendiente,,0,3,30,12,,,,Implementar modelo RBAC con segregación clara
IAM-008,IAM,Grupos sin Políticas Asociadas,Grupos de usuarios creados sin políticas definidas,BAJA,3.1,CIS 1.14,ISO 27001 A.9.1.1,N/A,Grupos IAM,Global,Pendiente,,0,4,60,2,,,,Asignar políticas apropiadas o eliminar grupos vacíos
IAM-009,IAM,Ausencia de Proceso de Onboarding/Offboarding,Sin proceso formal para alta y baja de usuarios,ALTA,7.2,N/A,ISO 27001 A.9.2.1,NIST PR.AC-1,Proceso IAM,Global,Pendiente,,0,2,14,24,,,,Implementar proceso formal de gestión de identidades
IAM-010,IAM,Cuentas de Servicio sin Rotación,Cuentas de servicio con credenciales estáticas sin rotación,ALTA,7.5,CIS 1.4,ISO 27001 A.9.2.6,NIST PR.AC-1,Service Accounts,Global,Pendiente,,0,2,14,8,,,,Implementar rotación automática para cuentas de servicio
IAM-011,IAM,Sin Registro de Accesos Privilegiados,Accesos administrativos sin logging detallado,ALTA,7.8,CIS 1.12,ISO 27001 A.12.4.1,NIST DE.CM-3,Admin Access Logs,Global,Pendiente,,0,2,7,6,,,,Habilitar logging completo para accesos privilegiados
IAM-012,IAM,Políticas IAM Inline Excesivas,Uso excesivo de políticas inline vs políticas gestionadas,MEDIA,5.5,CIS 1.20,ISO 27001 A.9.1.1,NIST PR.AC-4,Políticas IAM,Global,Pendiente,,0,3,30,12,,,,Migrar a políticas gestionadas reutilizables
IAM-013,IAM,Sin Revisión Periódica de Permisos,Ausencia de revisión trimestral de permisos y accesos,MEDIA,6.2,N/A,ISO 27001 A.9.2.5,NIST PR.AC-1,Todos los usuarios,Global,Pendiente,,0,3,30,16,,,,Implementar revisión trimestral de access review
IAM-014,IAM,Usuarios con Múltiples Access Keys Activas,Usuarios con más de una access key activa simultáneamente,MEDIA,5.8,CIS 1.13,ISO 27001 A.9.2.6,NIST PR.AC-1,Access Keys,Global,Pendiente,,0,3,30,4,,,,Mantener solo una access key activa por usuario
IAM-015,IAM,Sin Política de Naming Convention,Ausencia de convención de nombres para recursos IAM,BAJA,3.5,N/A,ISO 27001 A.12.1.1,NIST ID.AM-1,Recursos IAM,Global,Pendiente,,0,4,60,8,,,,Establecer y documentar convención de nombres
IAM-016,IAM,Roles Cross-Account sin Restricciones,Roles de acceso cross-account sin restricciones adecuadas,CRITICA,8.9,CIS 1.19,ISO 27001 A.9.1.2,NIST PR.AC-4,Cross-Account Roles,Global,Pendiente,,0,1,3,6,,,,Aplicar restricciones y condiciones en roles cross-account
IAM-017,IAM,Sin Federación de Identidades,No uso de federación con IdP corporativo (SAML/OIDC),ALTA,6.8,CIS 1.21,ISO 27001 A.9.2.1,NIST PR.AC-6,Sistema SSO,Global,Pendiente,,0,2,21,40,,,,Implementar federación con Active Directory/LDAP
IAM-018,IAM,Políticas con Versiones Antiguas,Políticas IAM usando versiones deprecadas del lenguaje,BAJA,3.2,N/A,ISO 27001 A.12.1.1,NIST PR.IP-1,Políticas IAM,Global,Pendiente,,0,4,60,4,,,,Actualizar todas las políticas a la última versión
IAM-019,IAM,Sin Control de Sesiones Concurrentes,Usuarios pueden tener múltiples sesiones activas sin límite,MEDIA,5.9,N/A,ISO 27001 A.9.4.2,NIST PR.AC-7,Session Management,Global,Pendiente,,0,3,30,8,,,,Implementar límite de sesiones concurrentes
IAM-020,IAM,Ausencia de Privileged Access Management,Sin solución PAM para gestión de accesos privilegiados,ALTA,7.6,N/A,ISO 27001 A.9.2.3,NIST PR.AC-4,Usuarios Admin,Global,Pendiente,,0,2,14,32,,,,Implementar solución PAM o JIT access
IAM-021,IAM,Tokens de API sin Expiración,Tokens de API con tiempo de vida excesivo o sin expiración,ALTA,7.3,CIS 1.22,ISO 27001 A.9.4.3,NIST PR.AC-1,API Tokens,Global,Pendiente,,0,2,7,6,,,,Configurar expiración máxima de 12 horas para tokens
IAM-022,IAM,Sin Segregación por Ambiente,Mismos usuarios/roles para Dev/Test/Prod,ALTA,7.1,N/A,ISO 27001 A.6.1.2,NIST PR.AC-4,Ambientes,Global,Pendiente,,0,2,14,16,,,,Segregar accesos por ambiente (Dev/Test/Prod)
IAM-023,IAM,Roles sin Principio de Confianza Cero,Roles que confían en cualquier principal sin validación,MEDIA,6.4,N/A,ISO 27001 A.9.1.2,NIST ZTA,Trust Policies,Global,Pendiente,,0,3,30,8,,,,Implementar Zero Trust en políticas de confianza
IAM-024,IAM,Sin Auditoría de Cambios IAM,Cambios en IAM sin aprobación ni registro de auditoría,ALTA,7.2,CIS 3.1,ISO 27001 A.12.4.1,NIST DE.AE-3,IAM Changes,Global,Pendiente,,0,2,7,12,,,,Implementar workflow de aprobación para cambios IAM
IAM-025,IAM,Usuarios Genéricos o Compartidos,Existencia de cuentas genéricas compartidas entre usuarios,CRITICA,8.7,CIS 1.16,ISO 27001 A.9.2.1,NIST PR.AC-1,Usuarios genéricos,Global,Pendiente,,0,1,3,4,,,,Eliminar cuentas compartidas y crear usuarios nominales
IAM-026,IAM,Sin Gestión de Identidades Privilegiadas,Cuentas admin sin gestión especial PIM/PAM,ALTA,7.9,N/A,ISO 27001 A.9.2.3,NIST PR.AC-4,Admin accounts,Global,Pendiente,,0,2,14,24,,,,Implementar PIM para cuentas administrativas
IAM-027,IAM,Permisos Heredados No Documentados,Permisos heredados de grupos/roles sin documentación clara,MEDIA,5.6,N/A,ISO 27001 A.9.1.1,NIST ID.GV-1,Permission inheritance,Global,Pendiente,,0,3,30,16,,,,Documentar y revisar herencia de permisos
IAM-028,IAM,Sin Break-Glass Procedure,Ausencia de procedimiento de acceso de emergencia,ALTA,7.0,N/A,ISO 27001 A.9.1.2,NIST RS.AN-5,Emergency Access,Global,Pendiente,,0,2,7,8,,,,Crear procedimiento break-glass para emergencias
IAM-029,IAM,Certificados sin Gestión Centralizada,Certificados digitales gestionados de forma descentralizada,MEDIA,6.1,N/A,ISO 27001 A.10.1.2,NIST PR.DS-2,Certificates,Global,Pendiente,,0,3,30,20,,,,Centralizar gestión de certificados digitales
IAM-030,IAM,Sin Métricas de Uso IAM,Ausencia de KPIs y métricas sobre uso del sistema IAM,BAJA,3.8,N/A,ISO 27001 A.12.1.3,NIST DE.DP-4,IAM Metrics,Global,Pendiente,,0,4,60,12,,,,Implementar dashboard con métricas IAM
NET-001,NETWORK,VPC sin Segregación de Subnets,VPCs sin subnets públicas y privadas segregadas,ALTA,7.5,CIS 2.1,ISO 27001 A.13.1.1,NIST PR.AC-5,20 VPCs,LA-Buenos Aires1/LA-Santiago,Pendiente,,0,2,14,16,,,,Segregar subnets públicas y privadas en todas las VPCs
NET-002,NETWORK,Subnets Públicas sin Justificación,Recursos en subnets públicas sin necesidad de acceso desde Internet,ALTA,7.2,CIS 2.2,ISO 27001 A.13.1.3,NIST PR.AC-5,Subnets en 20 VPCs,LA-Buenos Aires1/LA-Santiago,Pendiente,,0,2,14,8,,,,Mover recursos a subnets privadas cuando sea posible
NET-003,NETWORK,Security Groups con Reglas 0.0.0.0/0,Security groups permitiendo acceso desde cualquier IP externa,CRITICA,9.3,CIS 4.1-4.4,ISO 27001 A.13.1.1,NIST PR.AC-5,17 Security Groups,LA-Buenos Aires1/LA-Santiago,Pendiente,,0,1,3,6,,,,Restringir reglas a IPs y puertos específicos
NET-004,NETWORK,Puertos Críticos Expuestos a Internet,Puertos sensibles (22/3389/3306) abiertos a Internet,CRITICA,9.8,CIS 4.1-4.4,ISO 27001 A.13.1.1,NIST PR.AC-5,112 ECS,LA-Buenos Aires1/LA-Santiago,Pendiente,,0,1,3,8,,,,Cerrar puertos críticos o restringir a IPs específicas
NET-005,NETWORK,Ausencia de Network ACLs,VPCs sin Network ACLs configuradas como defensa adicional,MEDIA,5.8,CIS 3.1-3.7,ISO 27001 A.13.1.1,NIST PR.AC-5,20 VPCs,LA-Buenos Aires1/LA-Santiago,Pendiente,,0,3,30,12,,,,Implementar NACLs como capa adicional de seguridad
NET-006,NETWORK,VPC Peering sin Restricciones,Conexiones VPC peering sin políticas de seguridad restrictivas,ALTA,7.3,CIS 2.3,ISO 27001 A.13.1.3,NIST PR.AC-5,VPC Peerings,Multi-region,Pendiente,,0,2,14,8,,,,Aplicar políticas restrictivas en conexiones peering
NET-007,NETWORK,ELB sin Cifrado SSL/TLS,Elastic Load Balancers sin certificados SSL/TLS o versiones obsoletas,ALTA,7.4,CIS 2.4,ISO 27001 A.10.1.1,NIST PR.DS-2,2 ELBs,LA-Buenos Aires1,Pendiente,,0,2,7,4,,,,Configurar certificados SSL/TLS actualizados
NET-008,NETWORK,Ausencia de Flow Logs,VPCs sin flow logs habilitados para monitoreo de tráfico,MEDIA,4.3,CIS 2.5,ISO 27001 A.12.4.1,NIST DE.CM-1,20 VPCs,LA-Buenos Aires1/LA-Santiago,Pendiente,,0,3,30,6,,,,Habilitar VPC Flow Logs y enviar a Fortinet FortiAnalyzer
NET-009,NETWORK,Sin Aislamiento entre Ambientes,Comunicación permitida entre Dev/Test/Prod en Huawei Cloud,CRITICA,8.5,CIS 4.6,ISO 27001 A.13.1.3,NIST PR.AC-5,20 VPCs,Multi-region,Pendiente,,0,1,7,16,,,,Segregar ambientes en VPCs separadas con políticas restrictivas
NET-010,NETWORK,Comunicación Lateral sin Restricción,Security groups permitiendo ANY-ANY entre instancias internas,ALTA,7.8,CIS 4.5,ISO 27001 A.13.1.1,NIST PR.AC-5,17 Security Groups,LA-Buenos Aires1/LA-Santiago,Pendiente,,0,2,14,12,,,,Aplicar microsegmentación y principio de menor privilegio interno
NET-011,NETWORK,Sin Integración con Fortinet SIEM,Logs y eventos de red no integrados con plataforma Fortinet,ALTA,6.9,N/A,ISO 27001 A.12.4.1,NIST DE.AE-1,Flow Logs/Events,Multi-region,Pendiente,,0,2,14,16,,,,Integrar eventos de Huawei Cloud con FortiSIEM/FortiAnalyzer
NET-012,NETWORK,EIPs sin Justificación Documentada,IPs elásticas asignadas sin justificación de negocio,MEDIA,5.8,N/A,ISO 27001 A.8.1.1,NIST ID.AM-2,10 EIPs,LA-Buenos Aires1/LA-Santiago,Pendiente,,0,3,30,4,,,,Documentar necesidad de cada EIP y liberar las no utilizadas
NET-013,NETWORK,Bandwidth sin Límites Configurados,Ancho de banda sin throttling o QoS configurado,MEDIA,5.2,N/A,ISO 27001 A.13.2.1,NIST PR.DS-5,10 Bandwidth resources,LA-Buenos Aires1/LA-Santiago,Pendiente,,0,3,30,6,,,,Configurar límites de bandwidth según SLAs
NET-014,NETWORK,Route Tables sin Documentación,Tablas de ruteo complejas sin documentación actualizada,BAJA,4.1,N/A,ISO 27001 A.12.1.1,NIST ID.AM-3,Route tables en 20 VPCs,Multi-region,Pendiente,,0,4,60,8,,,,Documentar y simplificar tablas de ruteo donde sea posible
NET-015,NETWORK,DNS Resolver sin Restricciones,Resolución DNS usando servidores públicos sin filtrado,MEDIA,5.9,CIS 2.6,ISO 27001 A.13.1.1,NIST PR.AC-5,DNS configuration,Multi-region,Pendiente,,0,3,30,6,,,,Implementar DNS privado con filtrado de dominios maliciosos
NET-016,NETWORK,NAT Gateway sin Alta Disponibilidad,NAT Gateways únicos sin configuración redundante para HA,ALTA,7.2,N/A,ISO 27001 A.17.1.1,NIST PR.PT-5,NAT Gateways,LA-Buenos Aires1/LA-Santiago,Pendiente,,0,2,14,8,,,,Implementar NAT Gateways redundantes en múltiples AZs
NET-017,NETWORK,NAT Gateway Compartido entre Ambientes,Mismo NAT Gateway usado por Dev/Test/Prod sin segregación,ALTA,7.6,N/A,ISO 27001 A.13.1.3,NIST PR.AC-5,NAT Gateways,Multi-region,Pendiente,,0,2,7,12,,,,Segregar NAT Gateways por ambiente y criticidad
NET-018,NETWORK,Sin VPC Endpoints para Servicios,Tráfico a servicios de Huawei Cloud pasando por Internet,ALTA,7.1,N/A,ISO 27001 A.13.1.1,NIST PR.AC-5,VPC Endpoints,LA-Buenos Aires1/LA-Santiago,Pendiente,,0,2,14,16,,,,Implementar VPC Endpoints para servicios críticos (OBS/RDS/etc)
NET-019,NETWORK,Cross-Region Traffic sin Cifrado,Transferencias entre regiones sin cifrado adicional,CRITICA,8.2,N/A,ISO 27001 A.10.1.1,NIST PR.DS-2,Multi-region traffic,5 regiones,Pendiente,,0,1,7,20,,,,Cifrar todo tráfico cross-region con IPSec o TLS
NET-020,NETWORK,Sin Segmentación de Bases de Datos,RDS/DDS accesibles desde múltiples subnets,CRITICA,8.8,CIS 4.6,ISO 27001 A.13.1.3,NIST PR.AC-5,Database subnets,LA-Buenos Aires1/LA-Santiago,Pendiente,,0,1,7,24,,,,Aislar bases de datos en subnets dedicadas con SG restrictivos
NET-021,NETWORK,VPCs sin Recursos Asociados,VPCs creadas pero sin recursos activos generando costos,MEDIA,4.2,N/A,ISO 27001 A.8.1.1,NIST ID.AM-1,20 VPCs,Multi-region,Pendiente,,0,3,30,4,,,,Eliminar VPCs vacías o documentar justificación para mantenerlas
NET-022,NETWORK,Incumplimiento de Nomenclatura,Recursos de red sin seguir convención de nombres estándar,BAJA,3.5,N/A,ISO 27001 A.12.1.1,NIST ID.AM-1,VPCs/Subnets/SGs,Multi-region,Pendiente,,0,4,60,8,,,,Aplicar nomenclatura estándar: ambiente-region-servicio-recurso
NET-023,NETWORK,Comunicación No Autorizada entre Ambientes,Tráfico detectado entre VPCs de Dev/Test/Prod sin justificación,CRITICA,9.1,CIS 4.6,ISO 27001 A.13.1.3,NIST PR.AC-5,VPC Peering/Routes,Multi-region,Pendiente,,0,1,3,16,,,,Eliminar rutas y peerings no autorizados entre ambientes
NET-024,NETWORK,VPN Site-to-Site sin Redundancia,Conexiones VPN sin túneles redundantes para alta disponibilidad,ALTA,7.3,CIS 2.7,ISO 27001 A.17.1.2,NIST PR.PT-5,VPN Connections,Multi-region,Pendiente,,0,2,14,12,,,,Configurar túneles VPN redundantes con diferentes endpoints
NET-025,NETWORK,VPN con Algoritmos Débiles,VPN usando algoritmos de cifrado obsoletos (3DES/MD5/SHA1),CRITICA,8.4,CIS 2.8,ISO 27001 A.10.1.1,NIST PR.DS-2,VPN Connections,Multi-region,Pendiente,,0,1,7,8,,,,Actualizar a AES-256/SHA256/DH14 mínimo
NET-026,NETWORK,Client VPN sin MFA,Acceso VPN de usuarios sin autenticación multifactor,CRITICA,8.9,CIS 1.2,ISO 27001 A.9.4.2,NIST PR.AC-7,Client VPN,Multi-region,Pendiente,,0,1,3,16,,,,Implementar MFA obligatorio para todas las conexiones Client VPN
